Brand,Set,Amazon,Target,Walmart,TCG,Gamestop,Release
Magic: The Gathering,Foundations: Beginner Box,30.95,31.99,26.95,27.8,30.99,11-15-2024
Magic: The Gathering,Foundations: Bundle,41.19,52.99,44.99,40.65,52.99,11-15-2024
Magic: The Gathering,Foundations: Starter Collection,55.48,64.99,42.95,49.75,64.99,11-15-2024
Magic: The Gathering,Foundations: Collector Booster,27,28.99,null,26.95,28.99,11-15-2024
Magic: The Gathering,Foundations: Play Boosters,132.99,null,127.95,135,179.99,11-15-2024
Magic: The Gathering,DuskMourn: Play Boosters,159.99,157.99,129.95,141.85,null,09-27-2024
Magic: The Gathering,DuskMourn: Bundle,42,52.99,41.99,39.5,52.99,09-27-2024
Magic: The Gathering,DuskMourn: Collector Booster,26.77,28.99,29.94,29.95,29.99,09-27-2024
Magic: The Gathering,DuskMourn: Commander Jump Scare,52.75,49.99,45,31.99,49.99,09-27-2024
Magic: The Gathering,DuskMourn: Commander Endless Punishment,47.3,null,45,91.88,49.99,09-27-2024
Magic: The Gathering,DuskMourn: Commander Miracle Worker,58.95,49.99,49.96,50,null,09-27-2024
Magic: The Gathering,DuskMourn: Commander Death Toll,40,49.99,45,22.95,null,09-27-2024
Pokemon,Scarlet and Violet: Surging Sparks Elite Trainer Box,42.45,49.99,45.99,42.98,49.99,11-08-2024
Pokemon,Scarlet and Violet: Surging Sparks Booster Bundle,26.99,27.99,null,27.99,26.99,11-08-2024
Pokemon,Scarlet and Violet: Surging Sparks Booster Box,134.99,null,134.99,128.85,129.99,11-08-2024
Pokemon,Charizard Ex Super Premium Collection ,58.99,79.99,64.99,57.99,79.99,10-04-2024
Pokemon,Scarlet and Violet: Stellar Crown Elite Trainer Box,39.2,49.99,39.99,37.97,49.99,09-24-2024
Pokemon,Scarlet and Violet: Stellar Crown Booster Bundle,23.99,27.99,22.95,20.68,26.99,09-24-2024
Pokemon,Scarlet and Violet: Shrouded Fable Elite Trainer Box,38.36,54.99,34.98,31.71,49.99,08-02-2024
Pokemon,Scarlet and Violet: Shrouded Fable Kingdra,29.99,29.99,34.99,20,29.99,08-02-2024
Pokemon,Scarlet and Violet: Shrouded Fable Booster Bundle,23.79,23.99,21.5,24.35,12.99,08-02-2024
Pokemon,Scarlet and Violet: Shrouded Fable Kingambit,17.95,18.99,16.49,15.98,21.99,08-02-2024
Yugioh,Blue Eyes White Destiny Structured Deck,11.99,11.99,11.99,22.95,11.99,02-06-2025
Yugioh,25th Anniversary Tin: Dueling Mirrors,21.97,21.99,19.95,19.88,21.99,09-20-2024
Yugioh,Rage of the Abyss Booster,4.95,4.95,4.95,3,4.95,10-11-2024
Yugioh,Rage of the Abyss Booster Box,84.98,107.99,97.88,74.88,99.99,10-11-2024
Yugioh,Quarter Century Bananza Booster,5.99,5.99,5.99,7.93,5.99,11-08-2024
Yugioh,Quarter Century Bananza Booster Box,117.89,117.89,117.89,117.89,117.89,11-08-2024
Yugioh,Cross-over Breakers Booster,4.95,4.95,4.95,4.95,4.95,12-06-2024
Yugioh,Cross-over Breakers Booster Box,70,70,70,70,70,12-06-2024
Yugioh,Supreme Darkness Booster,4.95,4.95,4.95,4.95,4.95,01-24-2025
Yugioh,Supreme Darkness Boster Box,62,62,62,62,62,01-24-2025
Yugioh,Stainless Steel Egyptian God Cards,400,400,400,400,400,TBD